sector,market_stage,market_signal_summary,driver_signal,crosscheck_result,evidence_strength,source_count,summary,warning,data_status
BÁN LẺ,LAGGING,1w=-0.0300; 1m=-0.0093; relative_1m=-0.0260; breadth_ma50=0.3750; liquidity_4w=-0.0505; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
BẢO HIỂM,LAGGING,1w=-0.0059; 1m=-0.0495; relative_1m=-0.0662; breadth_ma50=0.0000; liquidity_4w=-0.4203; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
BẤT ĐỘNG SẢN,LAGGING,1w=-0.0080; 1m=-0.0250; relative_1m=-0.0416; breadth_ma50=0.2105; liquidity_4w=-0.0672; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
CÔNG NGHỆ THÔNG TIN,LAGGING,1w=0.0109; 1m=-0.0204; relative_1m=-0.0371; breadth_ma50=0.1667; liquidity_4w=-0.1540; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
DU LỊCH VÀ GIẢI TRÍ,LEADERSHIP,1w=0.0136; 1m=0.0340; relative_1m=0.0173; breadth_ma50=0.5000; liquidity_4w=0.7497; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
DẦU KHÍ,LAGGING,1w=0.0110; 1m=-0.0722; relative_1m=-0.0889; breadth_ma50=0.1250; liquidity_4w=-0.5718; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
DỊCH VỤ TÀI CHÍNH,LEADERSHIP,1w=0.0512; 1m=0.0804; relative_1m=0.0637; breadth_ma50=0.7714; liquidity_4w=1.0585; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
HÀNG & DỊCH VỤ CÔNG NGHIỆP,IMPROVING,"1w=-0.0076; 1m=0.0244; relative_1m=0.0078; breadth_ma50=0.3636; liquidity_4w=1.2458; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
HÀNG CÁ NHÂN & GIA DỤNG,IMPROVING,"1w=-0.0085; 1m=0.0419; relative_1m=0.0252; breadth_ma50=0.2500; liquidity_4w=1.5514; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
HÓA CHẤT,LAGGING,1w=0.0073; 1m=-0.0473; relative_1m=-0.0640; breadth_ma50=0.1739; liquidity_4w=0.0202; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
NGÂN HÀNG,LEADERSHIP,1w=0.0129; 1m=0.0663; relative_1m=0.0496; breadth_ma50=0.8696; liquidity_4w=0.2998; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
TRUYỀN THÔNG,LEADERSHIP,1w=0.0464; 1m=0.1400; relative_1m=0.1234; breadth_ma50=0.8333; liquidity_4w=0.8333; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,MISSING,PRICE_STRONG_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
TÀI NGUYÊN CƠ BẢN,LAGGING,1w=0.0170; 1m=-0.0037; relative_1m=-0.0204; breadth_ma50=0.3913; liquidity_4w=0.4532; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
VIỄN THÔNG,UNCLEAR_DATA,1w=0.0032; 1m=-0.0874; relative_1m=-0.1041; breadth_ma50=0.0000; liquidity_4w=-0.6890; summary=Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,MISSING,DATA_INSUFFICIENT,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
XÂY DỰNG VÀ VẬT LIỆU,LAGGING,1w=-0.0071; 1m=-0.0170; relative_1m=-0.0337; breadth_ma50=0.3220; liquidity_4w=1.5881; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
THỰC PHẨM VÀ ĐỒ UỐNG,WEAKENING,"1w=-0.0164; 1m=0.0040; relative_1m=-0.0126; breadth_ma50=0.4054; liquidity_4w=0.4513; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
Y TẾ,WEAKENING,1w=0.0387; 1m=-0.0044; relative_1m=-0.0211; breadth_ma50=0.4167; liquidity_4w=0.0676; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
Ô TÔ VÀ PHỤ TÙNG,WEAKENING,"1w=0.0100; 1m=0.0077; relative_1m=-0.0090; breadth_ma50=0.2857; liquidity_4w=-0.1922; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",WEAKENING,1w=0.0274; 1m=-0.0259; relative_1m=-0.0426; breadth_ma50=0.4375; liquidity_4w=8.4445; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,MISSING,PRICE_WEAK_BUT_DRIVER_UNCONFIRMED,LOW,0,N/A (MISSING_DATA),Driver research pending.,NEEDS_WEB_RESEARCH
