as_of,icb2,ticker_count,main_signal,supporting_evidence,contradicting_evidence,data_quality_status,confidence_lite,source
2026-07-03,BÁN LẺ,8,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=0.0156; sector_return_1m_equal_weight=0.0392; relative_strength_1m_vs_vnindex=0.0226; breadth_ma50_pct=0.4286,drawdown_from_52w_high=-0.0555; volatility_20d=0.0103; liquidity_trend_4w=0.0147; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,BẢO HIỂM,5,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=-0.0059; sector_return_1m_equal_weight=-0.0495; relative_strength_1m_vs_vnindex=-0.0662; breadth_ma50_pct=0.0000,"drawdown_from_52w_high=-0.1952; volatility_20d=0.0058; liquidity_trend_4w=-0.4203; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight; coverage_warning=Cảnh báo: số mã hợp lệ còn mỏng, nên đọc cùng phần dữ liệu thiếu.",WATCH,75,vnstock_vci_quote_history+VNINDEX
2026-07-03,BẤT ĐỘNG SẢN,57,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=-0.0080; sector_return_1m_equal_weight=-0.0250; relative_strength_1m_vs_vnindex=-0.0416; breadth_ma50_pct=0.2105,drawdown_from_52w_high=-0.1613; volatility_20d=0.0054; liquidity_trend_4w=-0.0672; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,CÔNG NGHỆ THÔNG TIN,6,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=0.0109; sector_return_1m_equal_weight=-0.0204; relative_strength_1m_vs_vnindex=-0.0371; breadth_ma50_pct=0.1667,drawdown_from_52w_high=-0.2386; volatility_20d=0.0063; liquidity_trend_4w=-0.1540; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,DU LỊCH VÀ GIẢI TRÍ,6,Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,sector_return_1w_equal_weight=0.0136; sector_return_1m_equal_weight=0.0340; relative_strength_1m_vs_vnindex=0.0173; breadth_ma50_pct=0.5000,drawdown_from_52w_high=-0.1452; volatility_20d=0.0105; liquidity_trend_4w=0.7497; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,DẦU KHÍ,8,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=0.0110; sector_return_1m_equal_weight=-0.0722; relative_strength_1m_vs_vnindex=-0.0889; breadth_ma50_pct=0.1250,drawdown_from_52w_high=-0.3306; volatility_20d=0.0135; liquidity_trend_4w=-0.5718; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,DỊCH VỤ TÀI CHÍNH,35,Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,sector_return_1w_equal_weight=0.0512; sector_return_1m_equal_weight=0.0804; relative_strength_1m_vs_vnindex=0.0637; breadth_ma50_pct=0.7714,drawdown_from_52w_high=-0.1879; volatility_20d=0.0110; liquidity_trend_4w=1.0585; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,HÀNG & DỊCH VỤ CÔNG NGHIỆP,33,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=-0.0078; sector_return_1m_equal_weight=0.0255; relative_strength_1m_vs_vnindex=0.0089; breadth_ma50_pct=0.3750,drawdown_from_52w_high=-0.0358; volatility_20d=0.0081; liquidity_trend_4w=1.2940; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,HÀNG CÁ NHÂN & GIA DỤNG,12,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=-0.0011; sector_return_1m_equal_weight=0.0634; relative_strength_1m_vs_vnindex=0.0468; breadth_ma50_pct=0.2727,drawdown_from_52w_high=-0.0818; volatility_20d=0.0089; liquidity_trend_4w=1.6139; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,HÓA CHẤT,23,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=0.0073; sector_return_1m_equal_weight=-0.0473; relative_strength_1m_vs_vnindex=-0.0640; breadth_ma50_pct=0.1739,drawdown_from_52w_high=-0.1762; volatility_20d=0.0064; liquidity_trend_4w=0.0202; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,NGÂN HÀNG,23,Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,sector_return_1w_equal_weight=0.0129; sector_return_1m_equal_weight=0.0663; relative_strength_1m_vs_vnindex=0.0496; breadth_ma50_pct=0.8696,drawdown_from_52w_high=-0.0575; volatility_20d=0.0069; liquidity_trend_4w=0.2998; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,THỰC PHẨM VÀ ĐỒ UỐNG,37,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=-0.0164; sector_return_1m_equal_weight=0.0040; relative_strength_1m_vs_vnindex=-0.0126; breadth_ma50_pct=0.4054,drawdown_from_52w_high=-0.0686; volatility_20d=0.0049; liquidity_trend_4w=0.4513; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,TRUYỀN THÔNG,6,Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,sector_return_1w_equal_weight=0.0464; sector_return_1m_equal_weight=0.1400; relative_strength_1m_vs_vnindex=0.1234; breadth_ma50_pct=0.8333,drawdown_from_52w_high=0.0000; volatility_20d=0.0094; liquidity_trend_4w=0.8333; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,TÀI NGUYÊN CƠ BẢN,23,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=0.0170; sector_return_1m_equal_weight=-0.0037; relative_strength_1m_vs_vnindex=-0.0204; breadth_ma50_pct=0.3913,drawdown_from_52w_high=-0.0952; volatility_20d=0.0073; liquidity_trend_4w=0.4532; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,VIỄN THÔNG,2,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0032; sector_return_1m_equal_weight=-0.0874; relative_strength_1m_vs_vnindex=-0.1041; breadth_ma50_pct=0.0000,"drawdown_from_52w_high=-0.3076; volatility_20d=0.0119; liquidity_trend_4w=-0.6890; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight; coverage_warning=Cảnh báo: ngành này có ít mã hợp lệ, chỉ báo có thể bị méo bởi một vài cổ phiếu lớn.",LOW_COVERAGE,60,vnstock_vci_quote_history+VNINDEX
2026-07-03,XÂY DỰNG VÀ VẬT LIỆU,59,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=-0.0079; sector_return_1m_equal_weight=-0.0188; relative_strength_1m_vs_vnindex=-0.0355; breadth_ma50_pct=0.2982,drawdown_from_52w_high=-0.0967; volatility_20d=0.0056; liquidity_trend_4w=1.6292; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,Y TẾ,12,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=0.0476; sector_return_1m_equal_weight=0.0044; relative_strength_1m_vs_vnindex=-0.0123; breadth_ma50_pct=0.4545,drawdown_from_52w_high=-0.0687; volatility_20d=0.0078; liquidity_trend_4w=0.0778; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,Ô TÔ VÀ PHỤ TÙNG,7,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=0.0100; sector_return_1m_equal_weight=0.0077; relative_strength_1m_vs_vnindex=-0.0090; breadth_ma50_pct=0.2857,drawdown_from_52w_high=-0.0516; volatility_20d=0.0076; liquidity_trend_4w=-0.1922; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
2026-07-03,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",16,Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,sector_return_1w_equal_weight=0.0274; sector_return_1m_equal_weight=-0.0259; relative_strength_1m_vs_vnindex=-0.0426; breadth_ma50_pct=0.4375,drawdown_from_52w_high=-0.0465; volatility_20d=0.0069; liquidity_trend_4w=8.4445; missing_fields=sector_return_1w_cap_weight|sector_return_1m_cap_weight,OK,90,vnstock_vci_quote_history+VNINDEX
